Strategy,Environment,Agents,Trials,WarmUpEpisodesPerTrial,SuccessRate,SuccessRateStd,SuccessRateCI95Lower,SuccessRateCI95Upper,NormReturn,NormReturnStd,NormReturnCI95Lower,NormReturnCI95Upper,Makespan,MakespanStd,MakespanCI95Lower,MakespanCI95Upper,ActionEfficiency,ActionEfficiencyStd,ManagerUtil,ManagerUtilStd,DelegationSuccess,DelegationSuccessStd,MessagesPerEp,MessagesPerEpStd,BytesPerStep,BytesPerStepStd,CoordLatency,CoordLatencyStd
peer_to_peer,fault_recovery,12,5,1,0.5,0.22360679774997896,0.30400000000000005,0.696,2.775,0.8369737152384176,2.041360191919768,3.5086398080802317,14.601666666666667,1.1697637463275319,13.57632353494062,15.627009798392713,11.068,4.444988188960687,0.0,0.0,0.4192082899630069,0.19589908821128288,59.12,25.645993839194453,129.01718079976735,102.40754079514045,0.00011947314544846027,1.4119591055079068e-05
peer_to_peer,scalability,3,5,1,1.0,0.0,1.0,1.0,-0.0008,0.0010954451150103322,-0.0017601999791710056,0.00016019997917100565,23.56,0.6877499545619756,22.957160585230195,24.162839414769802,14.136,0.4126499727371857,0.0,0.0,1.0,0.0,43.3,1.1423659658795857,183.85221538919927,4.987986849845688,4.531289256798724e-05,3.6059703154474217e-06
peer_to_peer,scalability,5,5,1,1.0,0.0,1.0,1.0,-0.0028,0.0033466401061363026,-0.00573345939123077,0.00013345939123077027,14.58,1.1882760622010355,13.538430107962025,15.621569892037975,14.58,1.1882760622010355,0.0,0.0,1.0,0.0,67.1,4.722287581247038,460.66653448400945,12.297221406634554,7.459585531614721e-05,2.080769468788852e-06
peer_to_peer,scalability,8,5,1,1.0,0.0,1.0,1.0,-0.0012000000000000001,0.0010954451150103322,-0.002160199979171006,-0.00023980002082899443,13.4,1.2903487900563944,12.268959417173726,14.531040582826275,21.44,2.0645580640902303,0.0,0.0,1.0,0.0,104.28,5.922161767462956,780.7726943028406,35.892729753350906,0.00010294636245816946,4.427351762139748e-06
peer_to_peer,scalability,12,5,1,1.0,0.0,1.0,1.0,-0.0036,0.0049799598391954926,-0.007965127260458737,0.0007651272604587362,14.72,1.3971399357258385,13.495352850817838,15.944647149182163,35.327999999999996,3.353135845742012,0.0,0.0,1.0,0.0,170.68,6.4955369293076926,1164.5037807765527,68.47719527752768,0.00013992240000516176,6.955084853689126e-06
hybrid,task_distribution,3,5,1,1.0,0.0,1.0,1.0,0.89386,0.001878297101099838,0.8922135999999999,0.8955064,34.9,0.44158804331639295,34.51293101390062,35.28706898609938,13.959999999999999,0.1766352173265568,100.0,0.0,0.7476026505740154,0.0353516844686345,38.52,0.7328028384224516,110.38519216704067,2.4471048372761848,2.566947006118522e-05,7.14806613067572e-07
hybrid,task_distribution,5,5,1,1.0,0.0,1.0,1.0,0.93134,0.0006228964600958815,0.9307940071795343,0.9318859928204656,22.74,0.32093613071762384,22.458687078149616,23.02131292185038,18.192,0.2567489045741004,100.0,0.0,0.8025194091991253,0.03457140855404568,95.42,2.247665455533808,419.62094895135033,8.385580460992355,5.270111423526921e-05,1.4779555576748995e-06
hybrid,task_distribution,8,5,1,1.0,0.0,1.0,1.0,0.94276,0.0009685040010242349,0.9419110688131539,0.9436089311868462,14.0,0.5147815070493497,13.548774114217723,14.451225885782277,19.6,0.72069410986909,100.0,0.0,0.7898238949202103,0.03350704217060288,186.7,3.6633318168028453,1334.4507046854378,34.72779380634178,9.28817882392236e-05,5.6052438032169e-06
hybrid,task_distribution,12,5,1,1.0,0.0,1.0,1.0,0.94322,0.0005674504383644337,0.9427226077604144,0.9437173922395855,13.86,0.7127411872482189,13.235254803940038,14.484745196059961,30.492,1.5680306119460805,100.0,0.0,0.7999702644099196,0.036164502499044855,301.52,5.402499421564058,2178.7252392054443,80.24011658213801,0.00013030808712915896,5.1498520842850756e-06
hybrid,resource_allocation,3,5,1,1.0,0.0,1.0,1.0,0.5,0.0,0.5,0.5,34.02,0.8043631020876096,33.31494465465469,34.72505534534532,13.607999999999999,0.32174524083504336,100.0,0.0,0.8019622723868196,0.0562810353318639,37.78,1.134460224071344,111.04215445187216,1.18418945667897,3.0694661853874333e-05,1.0282341605932672e-06
hybrid,resource_allocation,5,5,1,0.8,0.12247448713915893,0.6926463787289875,0.9073536212710126,0.5094,0.05394256204519765,0.46211725963948364,0.5566827403605162,23.15,0.4213680343929323,22.780654633168357,23.51934536683164,30.800000000000004,7.662062385546075,100.0,0.0,0.7971280018505278,0.03123490986085378,95.28,1.2949903474543754,264.22205912029426,85.79161790988621,5.913827189833079e-05,1.8060632891409561e-06
hybrid,resource_allocation,8,5,1,0.66,0.15165750888103102,0.5270663323307447,0.7929336676692553,0.4692,0.09938661881762555,0.3820837875938124,0.5563162124061877,13.56,1.5110633673013187,12.235494560222572,14.88450543977743,60.032,18.853639436458945,100.0,0.0,0.8454770482562557,0.06073469603781761,185.36,2.2255336438706137,467.3938228876699,141.42685348750797,0.0001051311107934863,6.289992759060523e-06
hybrid,resource_allocation,12,5,1,0.7000000000000001,0.2,0.5246922705640166,0.8753077294359836,0.4752,0.07316898249941706,0.41106455906442996,0.5393354409355701,13.816666666666666,0.748609822715857,13.160481225397712,14.472852107935621,87.208,38.163057005433934,100.0,0.0,0.8070228861631074,0.05619992969905983,301.26,8.45210033068704,873.8250691511503,342.3583682699162,0.0001383759472377086,1.2867638992320937e-05
hybrid,collaborative,3,5,1,1.0,0.0,1.0,1.0,10.177,0.5127328739216944,9.727569820328007,10.626430179671992,35.46,1.158878768465449,34.44419797204377,36.475802027956234,14.184,0.46355150738618045,100.0,0.0,0.6164456239302596,0.02863136042526926,56.98,3.5471115009257885,160.63139068064342,7.20155687868901,0.00013539664673886296,9.313259430709983e-06
hybrid,collaborative,5,5,1,0.76,0.20736441353327723,0.5782370774882842,0.9417629225117158,17.609,10.015621953977696,8.829920281794909,26.388079718205095,23.488888888888887,1.3974527642804462,22.26396753338867,24.713810244389105,33.6,12.330125709010431,100.0,0.0,0.42671222899096733,0.029606280506644465,163.0,18.2267660324041,410.8054137468054,78.40207248379215,0.00041959521678263566,5.4797116111396055e-05
hybrid,collaborative,8,5,1,0.64,0.1816590212458495,0.4807688472691352,0.7992311527308649,23.261499999999998,9.844253336337905,14.63263149806998,31.890368501930016,19.763492063492063,1.0958906498608834,18.80290155580588,20.724082571178243,68.152,20.170788779817215,100.0,0.0,0.3689853813865972,0.02434464713260425,304.34,23.749168406493723,667.1253808698509,183.87262588796762,0.0007781777370554181,7.009181145551411e-05
hybrid,collaborative,12,5,1,0.62,0.2588435821108957,0.3931135967053116,0.8468864032946883,23.55,14.434214669492762,10.897853000498296,36.20214699950171,19.07936507936508,3.766135396549741,15.778201853776967,22.38052830495319,108.68,48.891751860615514,100.0,0.0,0.3598829259782203,0.08337946800136287,466.46000000000004,66.53005335936534,1072.0915936343426,371.56526298390395,0.0009763690753429306,0.00017298932088330253
hybrid,fault_recovery,3,5,1,0.02,0.044721359549995794,-0.0192,0.0592,1.729,1.111099680496759,0.7550781891753324,2.7029218108246678,6.8,15.20526224699857,-6.528,20.128,0.872,0.6949244563260095,2.30338329764454,2.7800881658609597,0.03805698005698006,0.03457178030477475,1.32,0.985900603509299,1.3623982869379014,1.0765968970861515,3.8207273076598845e-05,1.6269109633834278e-05
hybrid,fault_recovery,5,5,1,0.08,0.044721359549995794,0.0408,0.1192,1.205,0.886651002367899,0.4278161298637241,1.982183870136276,18.6,10.620734437881403,9.290515803762274,27.909484196237727,1.6920000000000002,0.6271522941040717,4.069122703564083,1.9326060376432401,0.0767003367003367,0.043555803342977296,6.78,2.7985710639538888,7.289032004436676,3.1258704220290188,7.846826230571236e-05,2.2073305582956543e-05
hybrid,fault_recovery,8,5,1,0.24000000000000002,0.15165750888103102,0.10706633233074475,0.3729336676692553,3.122,0.8620440823995025,2.3663850462040865,3.8776149537959133,15.16,4.863435000079676,10.897011264382698,19.422988735617302,4.612,2.036889785923627,3.908043927660612,2.318383274017091,0.22088695299495562,0.14624787794803754,34.68,21.837399112531696,49.89691838188757,44.7650297217669,8.872954417282142e-05,1.6000701945495144e-05
hybrid,fault_recovery,12,5,1,0.66,0.23021728866442678,0.4582056492366548,0.8617943507633452,2.322,0.9805138958729753,1.4625416761703918,3.1814583238296086,14.16,1.677200047698545,12.689869339140225,15.630130660859775,14.404,4.168894337831075,35.303737284850655,37.09125027718354,0.44841913047780263,0.12168018719590193,146.6,62.035111025934334,638.6304406228885,824.8432407443632,0.00011491799087985894,8.091985882922172e-06
hybrid,scalability,3,5,1,1.0,0.0,1.0,1.0,-0.0024000000000000002,0.0026076809620810596,-0.004685733142779358,-0.00011426685722064258,34.34,0.5412947441089742,33.865534237273124,34.81446576272688,13.735999999999999,0.21651789764358956,100.0,0.0,0.814789844006373,0.05441346098311037,37.46,1.1610340218959978,109.09480946943003,3.3271569055263774,3.1415547336324426e-05,1.0440290297191748e-06
hybrid,scalability,5,5,1,1.0,0.0,1.0,1.0,-0.1804,0.014099645385611655,-0.1927588840920206,-0.1680411159079794,22.78,0.5069516742254632,22.33563726528882,23.224362734711182,18.224,0.4055613393803713,100.0,0.0,0.7765186202686203,0.010899949967879177,95.28,1.3700364958642532,418.36310560983856,7.537983244301132,5.200352417513009e-05,1.4596128359314932e-06
hybrid,scalability,8,5,1,1.0,0.0,1.0,1.0,-0.20400000000000001,0.021307275752662523,-0.22267665066332828,-0.18532334933667174,14.18,0.4494441010848846,13.786044875652061,14.573955124347938,19.852,0.6292217415188391,100.0,0.0,0.7676990312994943,0.028271350066625834,187.0,4.2485291572496005,1319.4312582159096,36.425170761494265,9.01940140909728e-05,4.921718535356179e-06
hybrid,scalability,12,5,1,1.0,0.0,1.0,1.0,-0.1532,0.009230384607371462,-0.16129078883669573,-0.14510921116330427,14.12,0.5932958789676531,13.599953232872272,14.640046767127727,31.064,1.305250933728838,100.0,0.0,0.775941267301608,0.04313103781223672,303.5,4.289522117905446,2151.6832891972012,69.73651976386574,0.0001253374323983735,2.7383763597221767e-06
